,DT predictions,RF predictions,GB predictions,ET predictions,Ensemble of the four ,Real values
7733,5.230000000000001,5.201100000000005,5.36871216798237,5.168600000000001,5.242103041995595,5.23
903,7.57,6.4979,5.799328206743706,6.786699999999997,6.663482051685925,6.25
1964,5.21,5.212099999999993,5.117259756616479,5.2341999999999995,5.193389939154118,5.21
11820,4.89,4.376699999999999,5.009385398464505,4.282299999999997,4.6395963496161245,4.61
6119,7.21,7.2100000000000035,7.152896813955776,7.209900000000005,7.195699203488946,7.21
10645,8.06,8.061399999999985,8.04210914587765,8.062799999999994,8.056577286469407,8.06
1061,6.75,6.75,6.7351424213204085,6.7496,6.746185605330102,6.75
5503,5.35,4.875400000000002,5.290009520253045,4.752800000000001,5.067052380063261,4.61
10224,7.180000000000004,7.17999999999999,7.176656011375466,7.180899999999992,7.1793890028438625,7.18
1454,5.92,5.9185,5.8783981848051425,5.919899999999999,5.909199546201285,5.92
12992,5.13,5.137399999999998,4.976251562356999,5.143700000000001,5.096837890589249,5.16
1534,6.16,6.159300000000004,6.115085773276003,6.163300000000003,6.149421443319003,6.14
6698,6.82,6.820000000000008,6.809994187960695,6.821200000000004,6.8177985469901765,6.82
13848,3.86,4.076099999999999,4.0454543197617125,4.0767,4.014563579940428,4.4
884,5.76,5.758699999999997,6.026132638548392,5.625399999999998,5.792558159637097,5.75
13976,8.25,4.5358,5.350048269505771,5.154400000000002,5.8225620673764436,6.0
2662,6.94,6.940000000000014,6.910180080324763,6.9409000000000125,6.932770020081198,6.94
14347,5.4,6.067100000000003,6.003757498531123,5.811899999999998,5.820689374632781,7.25
608,6.24,6.2392000000000065,6.342013771805728,6.227300000000006,6.262128442951435,6.24
10436,7.22,7.220000000000017,7.230267236568118,7.220000000000016,7.222566809142037,7.22
4984,7.58,7.58000000000001,7.579946992939389,7.581100000000009,7.580261748234853,7.58
10692,6.3400000000000025,6.340099999999998,6.344335136426491,6.339899999999999,6.3410837841066225,6.34
10982,4.67,4.675099999999999,4.765957630246036,4.83,4.735264407561509,4.68
8769,7.230000000000003,7.23000000000001,7.19282955133882,7.229300000000011,7.2205323878347105,7.23
9144,6.58,6.580100000000005,6.595849721232561,6.579300000000005,6.583812430308143,6.58
4794,5.990000000000001,5.996400000000001,5.881752416766333,5.996100000000004,5.966063104191585,5.99
11019,5.6,5.788199999999998,5.6791302823935945,5.8308,5.724532570598398,5.88
11412,6.169999999999997,6.169899999999997,6.22677633323166,6.1702999999999975,6.184244083307913,6.17
10761,5.02,5.041299999999993,4.853245955222258,5.048799999999996,4.990836488805561,5.03
9990,7.090000000000002,7.090700000000001,7.091742954290858,7.0909,7.090835738572715,7.09
1053,5.62,5.620600000000003,5.473465666285559,5.619800000000005,5.583466416571392,5.62
11337,5.32,5.319999999999997,5.192588393361894,5.285399999999998,5.279497098340473,5.32
9366,6.9399999999999995,6.940000000000014,6.951194913771902,6.940500000000013,6.942923728442983,6.94
8156,6.07,6.075800000000002,5.996561451928902,6.078200000000002,6.055140362982226,6.08
10121,6.740000000000004,6.740000000000006,6.780367398607001,6.740500000000006,6.750216849651755,6.74
1957,4.65,4.646699999999998,4.6651632998339805,4.669399999999996,4.657815824958494,4.65
13350,7.45,7.454800000000007,7.410644401061939,7.454400000000008,7.442461100265488,7.46
11032,5.94,5.940400000000006,5.955669093440268,5.938700000000006,5.943692273360069,5.94
12422,7.64,7.639999999999989,7.627520563749085,7.641799999999989,7.637330140937266,7.64
99,8.14,8.139999999999988,8.09690316148429,8.14159999999999,8.129625790371067,8.14
3043,7.790000000000002,7.789999999999993,7.750848648530217,7.789899999999993,7.780187162132551,7.79
168,7.01,7.009999999999994,7.031882528031911,7.009699999999994,7.015395632007975,7.01
10179,3.75,4.500399999999999,4.561563174154053,4.547899999999999,4.3399657935385125,4.24
5363,6.54,5.833899999999999,5.817308738330897,5.6805,5.967927184582724,6.19
3323,7.439999999999999,7.439900000000016,7.461082647742848,7.43850000000001,7.444870661935719,7.44
7034,4.83,4.861199999999996,4.871625776832855,4.6861,4.812231444208212,4.83
6750,5.88,5.8778999999999995,6.13790633372163,5.877499999999999,5.943326583430407,5.87
6148,6.370000000000001,6.367100000000006,6.367227940930562,6.3624000000000045,6.366681985232643,6.37
1123,7.51,7.509999999999994,7.493795827247029,7.508999999999994,7.505698956811754,7.51
5035,7.2,7.199900000000007,7.231635400720481,7.19650000000001,7.207008850180125,7.19
11702,7.080000000000004,7.080000000000008,7.1110408712373685,7.082000000000009,7.088260217809347,7.08
11102,6.75,6.7498000000000005,6.773431431889802,6.7495,6.755682857972451,6.74
6906,5.54,4.742000000000001,5.182857189340584,4.622300000000001,5.021789297335147,5.54
927,6.22,6.220000000000016,6.2827976906112,6.219700000000015,6.2356244226528075,6.22
5384,5.82,5.827400000000001,5.86968752393634,5.824299999999998,5.835346880984084,5.83
6876,4.1,5.254800000000001,5.184963615241892,5.431700000000003,4.992865903810474,5.82
1482,7.8,7.79999999999999,7.774240079002925,7.798499999999989,7.793185019750727,7.8
4325,6.29,6.290100000000001,6.284694772265961,6.2904,6.288798693066491,6.29
7475,4.05,4.5889,4.610458102105326,4.610800000000003,4.465039525526333,5.71
12034,8.01,8.010699999999993,8.020888262478662,8.011999999999993,8.013397065619662,8.01
8374,6.840000000000002,6.84,6.853777860255429,6.840400000000002,6.843544465063858,6.84
13921,4.16,4.3184,4.478905967275584,3.7483000000000004,4.176401491818896,4.0
13846,5.67,4.910399999999999,4.7079377013832,4.605799999999998,4.973534425345799,4.5
387,0.0,0.0,0.08494860786488007,0.0,0.021237151966220016,0.0
1226,7.39,7.389899999999988,7.4155140662068755,7.385999999999992,7.3953535165517135,7.39
7225,5.75,5.767599999999998,5.830932266886881,5.753899999999999,5.775608066721719,5.75
14137,4.5,5.6041,5.752249966459197,5.5432000000000015,5.349887491614799,4.17
3146,6.22,6.220000000000016,6.264551533448647,6.220900000000014,6.231362883362169,6.22
14184,6.5,4.647799999999998,4.514014567741496,5.075399999999998,5.184303641935373,4.43
3445,6.7299999999999995,6.730000000000009,6.8125098846090015,6.7315000000000085,6.751002471152254,6.73
3077,6.169999999999997,6.170299999999997,6.194942140448925,6.175299999999998,6.177635535112229,6.18
7301,5.3,5.300200000000006,5.146401614255965,5.296000000000003,5.260650403563993,5.3
4965,6.430000000000004,6.429999999999994,6.476789837012359,6.430899999999995,6.441922459253088,6.43
8753,6.41,6.4127,6.395201780947322,6.4134,6.40782544523683,6.41
13685,5.1,5.162899999999999,5.330796629569935,5.140099999999997,5.183449157392483,5.09
9707,7.78,7.779699999999982,7.772673000783809,7.778699999999984,7.777768250195943,7.78
4077,7.02,7.01999999999999,6.9996551585488085,7.021299999999989,7.015238789637197,7.02
2357,5.0,5.682499999999997,5.713194433613357,5.7109000000000005,5.526648608403338,5.6
13073,7.01,7.009999999999994,7.0269630337601034,7.010099999999993,7.014265758440023,7.01
10031,7.450000000000002,7.450000000000009,7.4249181192907745,7.4498000000000095,7.443679529822699,7.45
5781,7.0,7.0,7.060744098443662,7.0018,7.015636024610916,7.0
13175,6.71,6.712500000000005,6.760884095008416,6.714600000000006,6.724496023752106,6.72
1433,5.42,5.464399999999999,5.8905380201445,5.3907000000000025,5.541409505036126,5.48
7254,6.64,6.63999999999999,6.697440152947247,6.63999999999999,6.654360038236807,6.64
3651,5.72,4.513700000000001,4.90566000614636,4.751800000000002,4.972790001536591,4.64
8771,7.330000000000001,7.330000000000009,7.31535047717245,7.329400000000009,7.326187619293117,7.33
11898,5.88,5.896899999999996,5.931244876655683,5.856999999999996,5.891286219163919,5.88
11408,7.239999999999999,7.240000000000006,7.245079995097246,7.223400000000006,7.237119998774315,7.24
10398,6.47,6.568800000000002,6.492132296705051,6.600300000000001,6.5328080741762635,6.55
12550,7.090000000000002,7.0913,7.140490534210539,7.089900000000004,7.1029226335526365,7.09
6908,7.380000000000001,7.380099999999996,7.354062969449169,7.380099999999996,7.373565742362291,7.38
5380,7.1599999999999975,7.159999999999999,7.0990490913762665,7.142599999999999,7.140412272844065,7.16
5350,8.54,8.54349999999999,8.495297393148917,8.548099999999987,8.531724348287224,8.55
6330,7.45,7.450000000000009,7.377708758288648,7.449900000000008,7.431902189572167,7.45
4671,6.14,6.13999999999999,6.136092808189297,6.140299999999988,6.139098202047319,6.14
12239,6.45,6.450000000000004,6.436952546876816,6.448900000000004,6.446463136719206,6.45
2334,7.19,7.189900000000014,7.153246545517394,7.1884000000000094,7.180386636379354,7.19
5858,7.62,7.318500000000007,6.566389153090226,7.220100000000005,7.1812472882725595,7.28
8197,4.86,4.607500000000003,4.716860475430927,4.898700000000006,4.770765118857734,4.86
2680,6.31,5.5975,5.236785002990313,5.698600000000002,5.710721250747579,6.18
6243,6.659999999999998,6.660000000000001,6.626237431434998,6.659799999999999,6.65150935785875,6.66
11716,7.400000000000004,7.399999999999986,7.405039877521593,7.400999999999987,7.401509969380392,7.4
3842,6.630000000000001,6.629999999999996,6.725053479170101,6.630699999999996,6.653938369792524,6.63
4688,6.659999999999998,6.660000000000001,6.628995010908511,6.660299999999999,6.652323752727128,6.66
273,6.44,6.105200000000001,5.6758821349706965,6.236500000000001,6.114395533742675,5.28
10051,5.35,5.3244,5.064783855213956,5.3050999999999995,5.261070963803489,5.33
8631,6.870000000000003,6.871100000000002,6.944613005314566,6.876699999999999,6.890603251328643,6.88
2406,7.480000000000001,7.48000000000001,7.464540267667772,7.478900000000011,7.475860066916948,7.48
14135,6.5,5.996000000000001,6.032867365297401,6.0564,6.14631684132435,5.2
12188,7.96,7.9602000000000075,7.90377126995408,7.960100000000007,7.946017817488524,7.96
2310,7.38,7.379799999999997,7.341191755410403,7.379499999999998,7.3701229388525995,7.38
2596,7.21,7.2100000000000035,7.202402131068601,7.210800000000006,7.2083005327671525,7.21
9812,7.0,5.625199999999999,5.687365334475754,5.706299999999998,6.004716333618938,6.57
4130,5.66,5.787700000000004,5.841505304773047,5.766800000000004,5.764001326193264,6.04
3437,7.120000000000002,7.120200000000003,7.119798752097515,7.120700000000003,7.120174688024381,7.12
8145,4.66,4.647500000000001,4.708983272572894,4.7049,4.680345818143223,4.67
10871,5.91,5.928500000000001,5.95768181328008,5.850500000000003,5.9116704533200215,5.78
6389,7.620000000000002,7.620000000000004,7.574027138827032,7.617600000000005,7.60790678470676,7.62
11614,7.25,5.435599999999998,5.446663644781528,5.481400000000001,5.903415911195381,5.73
9079,6.48,6.073199999999997,5.943075958453745,5.944399999999998,6.1101689896134355,6.38
9878,7.050000000000001,7.049999999999994,7.0415789457358615,7.049399999999994,7.0477447364339625,7.05
13210,6.38,6.218900000000001,5.969916165814948,6.311800000000001,6.220154041453737,6.53
468,7.840000000000002,7.839900000000004,7.779494179486975,7.817900000000003,7.819323544871747,7.84
9933,7.25,7.2499,7.230099397100824,7.247300000000001,7.244324849275207,7.25
14294,5.870000000000001,5.869500000000003,5.891501702682938,5.867300000000004,5.874575425670736,5.87
10614,6.790000000000001,6.789999999999997,6.820019862764399,6.788999999999996,6.797254965691097,6.79
7359,4.85,4.996800000000005,4.991751065423652,4.779600000000006,4.904537766355916,5.11
533,5.23,5.1561,5.73535032484357,5.155200000000001,5.319162581210893,5.52
19,8.38,8.387199999999993,8.341031575421258,8.383799999999997,8.373007893855313,8.39
13818,5.57,5.3743,5.314499271412444,5.377999999999998,5.409199817853111,5.56
5665,6.67,6.5549,6.1903772091852876,6.688600000000003,6.525969302296323,6.5
9913,4.01,3.9013999999999966,4.200654243413833,3.801299999999996,3.9783385608534565,3.95
7811,3.75,4.8745,5.538928446167502,4.352499999999997,4.628982111541875,4.43
11006,6.0,5.758100000000004,5.354114757165439,5.875400000000005,5.746903689291362,6.38
1944,5.810000000000001,5.844299999999999,5.8611683431752875,5.7575999999999965,5.818267085793821,5.81
357,6.13,5.333600000000001,5.496501714288215,5.343600000000004,5.575925428572054,5.8
2676,6.45,6.450000000000004,6.566623034003108,6.448400000000004,6.478755758500779,6.45
6682,6.82,6.820000000000008,6.804828907114727,6.822100000000006,6.816732226778685,6.82
6735,7.590000000000002,7.5900000000000025,7.601170966982618,7.590400000000005,7.592892741745657,7.59
11356,7.550000000000002,7.550099999999991,7.569223140968102,7.548099999999992,7.554355785242022,7.55
8446,7.32,7.320100000000012,7.34060611994986,7.32390000000001,7.32615152998747,7.32
4411,4.99,5.000299999999999,5.290990114597531,5.007399999999997,5.072172528649382,5.01
3963,6.770000000000002,6.769999999999991,6.776215479997267,6.770799999999991,6.771753869999313,6.77
9468,4.86,5.021199999999992,4.971414109464664,5.064399999999996,4.979253527366163,5.03
1722,6.370000000000001,6.370200000000003,6.383333937985593,6.3697000000000035,6.3733084844964,6.37
10905,7.06,6.673300000000003,6.527736096259203,6.725800000000004,6.746709024064803,6.52
